issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"To restore your access to the Claude team workspace, you must contact another Administrator or Owner within your organization. As a non-admin user, you cannot restore your own access. Please ask your admin to follow these steps:

1. Navigate to **Organization settings > Organization** (for Claude) or **Settings > Members** (for Console).
2. Locate your account and reinstate your seat or change your role to regain access.",identity-management-sso-jit-scim,replied,product_issue,Retrieved with score 0.76.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I understand you have concerns regarding your test score and the subsequent decision made by the recruiter. Please be advised that as the assessment platform, we provide the tools for testing and scoring, but we do not have the authority to manually alter your scores, review your answers for the purpose of changing a grade, or influence a company's hiring decisions. All recruitment decisions, including moving a candidate to the next round, are handled exclusively by the hiring company. We recommend reaching out directly to your recruiter to discuss your concerns or request a manual review of your submission.",library/question-types/programming-questions,replied,invalid,Retrieved with score 0.71.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"To address the issue with the merchant and request a resolution regarding your purchase, please take action immediately by filling out the merchant concerns form at /Forms/visa-rules.html.",support/consumer,replied,invalid,Retrieved with score 0.73.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I am sorry to hear that your mock interview was interrupted. To request a refund due to your dissatisfaction with the experience, please contact the support team at help@hackerrank.com. They will promptly review your request and assist you further.",hackerrank_community/mock-interviews,replied,product_issue,Retrieved with score 0.77.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"I am sorry to hear that you encountered an issue with your payment for order ID cs_live_abcdefgh. To assist you further and investigate the specific cause of this payment issue, please provide more details about the error you encountered or contact our billing support team directly for a resolution.",hackerrank_community/subscriptions-payments-and-billing,replied,product_issue,Retrieved with score 0.68.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I am unable to assist with filling out your company's internal infosec forms. While I can provide information on how to use HackerRank for hiring, the provided resources do not include a process or a dedicated contact for completing security questionnaires or infosec documentation.",hackerrank_community/additional-resources/job-search-and-applications,replied,product_issue,Retrieved with score 0.78.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"I'm sorry to hear you're having trouble with your submissions and cannot find the apply tab. To help me resolve this for you, could you please provide more details about the platform or specific section you are using? In the meantime, if you are looking for candidate submissions, you can typically find them in the centralized interview report or the Candidates tab.",interviews/manage-interviews,replied,product_issue,Retrieved with score 0.62.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,This appears to be a critical system issue. Escalating to human support immediately.,general,escalated,bug,LLM detected emergency/outage condition.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"To resolve the Zoom connectivity issue during your compatibility check, please refer to the detailed troubleshooting guide for audio and video calls in interviews powered by Zoom: https://support.hackerrank.com/articles/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom#compatibility-check-for-tests-and-interviews-5",general-help/release-notes,replied,product_issue,Retrieved with score 0.73.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"I am sorry to hear that you were unable to attend your assessment. Please reach out directly to the recruiting team at ""Company Name"" to request a reschedule. As a candidate, you will need to coordinate with the company's hiring manager or recruiter, as they are the ones who manage the assessment schedules and have the authority to grant extensions or provide alternative test dates.",integrations/applicant-tracking-systems/jobvite,replied,product_issue,Retrieved with score 0.75.
